age,duration,campaign,pdays,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,job_encoded,marital_encoded,education_encoded,default_encoded,housing_encoded,loan_encoded,contact_encoded,month_encoded,day_of_week_encoded,poutcome_encoded
56.0,86.0,,,0.0,1.1,93994.0,-36.4,,5191.0,,,,,,,,1.0,,
31.0,,,999.0,,1.4,93444.0,-36.1,4964.0,5228.1,,,,,0.0,0.0,,7.0,,0.0
56.0,,,,,,,-42.7,4968.0,,9.0,1.0,2.0,0.0,,,,0.0,,
32.0,,6.0,,0.0,1.4,,-42.7,,5228.1,1.0,,,,,0.0,,0.0,1.0,
40.0,,2.0,,0.0,,93994.0,-36.4,4858.0,5191.0,,,0.0,,,1.0,,,3.0,
,137.0,3.0,999.0,,1.4,,-41.8,,,7.0,,,0.0,0.0,0.0,,4.0,2.0,
,,,,0.0,,,,,,8.0,1.0,1.0,0.0,,0.0,1.0,0.0,,
44.0,254.0,,999.0,,1.1,93994.0,-36.4,,,,1.0,,,,0.0,,1.0,2.0,
,,1.0,,0.0,1.1,93994.0,-36.4,4.86,5191.0,1.0,0.0,,,,,,1.0,1.0,
,399.0,1.0,999.0,,,,,1.41,5099.1,,1.0,,1.0,,,,5.0,1.0,0.0
28.0,,2.0,999.0,,,92893.0,,,,0.0,,1.0,0.0,,0.0,1.0,1.0,,0.0
,,8.0,,,,92893.0,-46.2,,5099.1,3.0,,,1.0,,0.0,1.0,,1.0,0.0
39.0,51.0,2.0,,,1.4,,-42.7,4.96,5228.1,,,0.0,1.0,1.0,1.0,,,,
29.0,,,,,-1.8,92893.0,-46.2,,5099.1,0.0,1.0,,1.0,1.0,,1.0,1.0,,
,,,999.0,1.0,,,,1281.0,,0.0,,,,,0.0,1.0,1.0,3.0,
33.0,227.0,,999.0,1.0,-1.8,,-46.2,1.25,5099.1,,,3.0,,0.0,0.0,1.0,1.0,,
,587.0,1.0,999.0,,,93994.0,-36.4,,,,1.0,,,1.0,0.0,,,,
,554.0,2.0,,,1.4,,-42.7,4.96,5228.1,,1.0,,,,,1.0,0.0,0.0,0.0
,418.0,2.0,,,1.1,,,4856.0,,3.0,,,,,,,1.0,3.0,
51.0,809.0,1.0,999.0,,-1.8,92893.0,,1281.0,,,1.0,,,,,1.0,,,1.0
,64.0,,999.0,0.0,1.4,,-36.1,4963.0,5228.1,1.0,,1.0,0.0,,,1.0,,,0.0
33.0,,5.0,999.0,0.0,,,,1291.0,,,,3.0,1.0,,0.0,,1.0,2.0,
,,,,0.0,,,,,5228.1,3.0,,,1.0,1.0,,0.0,0.0,,
60.0,,2.0,,,1.4,,-36.1,4966.0,,,,1.0,,1.0,,,7.0,4.0,0.0
,,,999.0,,,,-42.7,4961.0,5228.1,1.0,1.0,3.0,,0.0,0.0,,,2.0,0.0
31.0,244.0,1.0,999.0,,,,,,5195.8,,0.0,1.0,,0.0,,1.0,,,0.0
47.0,,1.0,999.0,0.0,1.4,93918.0,,,,0.0,,,,0.0,0.0,1.0,0.0,,
,83.0,4.0,,,,92963.0,-40.8,1.26,,2.0,,,,,2.0,1.0,,,
,128.0,,,0.0,1.4,93918.0,-42.7,4968.0,,3.0,,4.0,,,,,0.0,1.0,0.0
31.0,379.0,,,,,,,1405.0,,5.0,2.0,3.0,1.0,,0.0,,5.0,0.0,0.0
,,3.0,,,1.1,,,4864.0,5191.0,6.0,2.0,3.0,,,,0.0,1.0,4.0,
30.0,120.0,,999.0,0.0,1.1,93994.0,,4864.0,,5.0,0.0,4.0,1.0,,0.0,0.0,,,0.0
38.0,118.0,1.0,999.0,,,,,,4991.6,,0.0,3.0,1.0,1.0,,,,,
31.0,,,999.0,,,,-42.0,,,,,,1.0,1.0,0.0,1.0,2.0,,1.0
37.0,,,,,1.1,93994.0,-36.4,,,,,0.0,,0.0,,0.0,,,0.0
,,1.0,,0.0,,93444.0,,,5228.1,0.0,,6.0,,,,,7.0,3.0,
,,,,,,93075.0,-47.1,,5099.1,5.0,1.0,1.0,1.0,,0.0,1.0,,,0.0
54.0,653.0,1.0,999.0,0.0,,,,,5195.8,6.0,2.0,1.0,1.0,0.0,1.0,,,1.0,
,,7.0,,,1.1,,-36.4,,5191.0,,,4.0,,0.0,,0.0,1.0,0.0,0.0
,,3.0,999.0,,1.4,93918.0,-42.7,4963.0,5228.1,,0.0,1.0,1.0,0.0,1.0,,,3.0,
27.0,93.0,1.0,,3.0,,,,0.879,,10.0,0.0,3.0,1.0,,,,,3.0,2.0
,50.0,2.0,999.0,,,93918.0,-42.7,4963.0,,3.0,1.0,4.0,,,1.0,,,,
29.0,,1.0,999.0,,-1.8,,-47.1,,5099.1,3.0,,,1.0,2.0,2.0,0.0,,0.0,0.0
29.0,1480.0,3.0,999.0,0.0,,,-42.0,,5195.8,,0.0,,,,,1.0,2.0,,
25.0,,5.0,999.0,,-1.8,,-46.2,1291.0,5099.1,3.0,0.0,,,,,,,2.0,0.0
,,1.0,,,,94465.0,-41.8,4967.0,5228.1,3.0,,,1.0,,0.0,0.0,,,
33.0,307.0,,,0.0,1.1,,-36.4,4857.0,,3.0,,,1.0,,,0.0,1.0,0.0,0.0
,,2.0,999.0,0.0,,,-36.4,,5191.0,,,0.0,,0.0,,0.0,1.0,3.0,0.0
,360.0,1.0,,0.0,,,,4857.0,5191.0,,1.0,,,0.0,0.0,0.0,,,
48.0,51.0,,999.0,,1.4,93918.0,-42.7,4963.0,5228.1,5.0,,0.0,,,1.0,,0.0,,0.0
,268.0,1.0,999.0,,1.4,,,,,5.0,1.0,,1.0,0.0,,,,1.0,0.0
28.0,,3.0,,,1.4,93918.0,-42.7,,5228.1,,,1.0,1.0,1.0,0.0,,,,0.0
,131.0,1.0,999.0,0.0,1.4,93444.0,,,5228.1,,1.0,1.0,1.0,,1.0,,7.0,1.0,
43.0,,1.0,999.0,0.0,-0.1,93.2,,,,1.0,0.0,,,0.0,0.0,,,,
43.0,,,999.0,,1.1,,-36.4,,5191.0,1.0,,1.0,1.0,1.0,0.0,,1.0,3.0,
31.0,97.0,3.0,999.0,0.0,,,-46.2,,5099.1,,1.0,0.0,1.0,,0.0,1.0,1.0,2.0,0.0
,110.0,1.0,,1.0,-1.1,,-37.5,,4963.6,3.0,1.0,,1.0,0.0,0.0,,6.0,,1.0
30.0,85.0,,999.0,0.0,,93994.0,,,,,1.0,,1.0,1.0,0.0,0.0,,3.0,
,,,,,1.4,,-41.8,,5228.1,,1.0,,,0.0,,0.0,,,0.0
46.0,696.0,10.0,,0.0,-3.0,92713.0,-33.0,0.718,5023.5,1.0,1.0,,1.0,2.0,,1.0,,4.0,
,47.0,,999.0,0.0,-1.8,,-50.0,1.56,5099.1,,,,1.0,1.0,0.0,,,0.0,
35.0,,,999.0,,,93918.0,,4.96,5228.1,,1.0,0.0,,0.0,0.0,1.0,,,0.0
50.0,,4.0,999.0,0.0,1.4,94465.0,,4864.0,,,2.0,2.0,,1.0,,,4.0,,0.0
40.0,724.0,1.0,,0.0,,,,,5228.1,0.0,,2.0,,1.0,,1.0,0.0,1.0,0.0
30.0,,5.0,999.0,0.0,,,-42.7,4961.0,5228.1,5.0,0.0,3.0,0.0,0.0,0.0,,0.0,2.0,
,,3.0,999.0,0.0,1.4,93444.0,,4963.0,5228.1,3.0,,,,1.0,1.0,1.0,,1.0,0.0
,,,999.0,0.0,,94465.0,-41.8,4959.0,5228.1,1.0,2.0,3.0,,,,,,4.0,
50.0,,,,0.0,1.4,,-42.7,,,7.0,1.0,,1.0,0.0,,1.0,0.0,4.0,
50.0,870.0,2.0,999.0,,,,-36.1,4963.0,,3.0,1.0,4.0,1.0,,1.0,,7.0,1.0,
,161.0,,,0.0,,92893.0,,1334.0,5099.1,,0.0,4.0,1.0,,,,,3.0,0.0
30.0,72.0,,999.0,0.0,1.1,,-36.4,4858.0,5191.0,,1.0,1.0,0.0,0.0,0.0,,1.0,,0.0
49.0,217.0,2.0,,0.0,,92893.0,-46.2,,5099.1,,,,,0.0,0.0,1.0,1.0,3.0,0.0
30.0,587.0,1.0,999.0,,1.4,,,4959.0,,,0.0,,1.0,,,,,3.0,
,,,,,1.4,94465.0,-41.8,,5228.1,,,,,0.0,,0.0,4.0,0.0,0.0
,95.0,4.0,999.0,0.0,,93994.0,-36.4,4857.0,,,1.0,,,,,0.0,,,0.0
50.0,,,999.0,,,93.2,-42.0,,,8.0,1.0,1.0,1.0,,0.0,0.0,,2.0,
,272.0,,,,,,-34.8,0.644,5008.7,,,0.0,,1.0,,,3.0,,
46.0,,,,,1.1,93994.0,-36.4,4.86,5191.0,,1.0,,0.0,1.0,,,,,
,,,999.0,,1.4,,,4.96,5228.1,,,,,1.0,,,4.0,,0.0
,,,999.0,0.0,1.4,93918.0,,,5228.1,1.0,0.0,1.0,,1.0,,,0.0,,0.0
34.0,,4.0,999.0,0.0,1.4,,-42.7,,5228.1,0.0,,2.0,,,0.0,,,,0.0
34.0,290.0,1.0,999.0,,,,-36.4,4857.0,5191.0,,,,,,,,,2.0,0.0
30.0,,2.0,,0.0,1.4,,,,,,,0.0,,0.0,0.0,,,,
28.0,370.0,,,,,93369.0,-34.8,,,1.0,,,1.0,,0.0,1.0,3.0,1.0,
53.0,52.0,,999.0,0.0,1.4,93918.0,,4961.0,5228.1,,,3.0,,,0.0,1.0,0.0,2.0,0.0
,80.0,4.0,,,,93994.0,-36.4,,5191.0,3.0,1.0,,1.0,,,,1.0,,
,740.0,,999.0,0.0,,,,4965.0,,,1.0,0.0,,,,,,,
,304.0,3.0,,,-1.8,92893.0,-46.2,1299.0,5099.1,3.0,0.0,,1.0,,,1.0,,,
42.0,,1.0,,,-1.8,92893.0,-46.2,1281.0,5099.1,,,6.0,,0.0,,1.0,,3.0,
52.0,40.0,,,,,93.2,-42.0,4191.0,5195.8,5.0,1.0,3.0,1.0,,,1.0,2.0,0.0,0.0
39.0,,,3.0,,-3.4,,,0.803,5017.5,0.0,1.0,,1.0,,,1.0,6.0,4.0,
,,,999.0,0.0,,93994.0,-36.4,,,,,,,0.0,,,1.0,0.0,
,93.0,,999.0,,-1.8,93075.0,,1405.0,,5.0,,4.0,,,,,5.0,,1.0
,135.0,1.0,,0.0,,,-41.8,,5228.1,2.0,,,0.0,,0.0,0.0,,2.0,0.0
41.0,,,,3.0,-1.1,94199.0,-37.5,0.879,,,,1.0,1.0,1.0,,1.0,6.0,,2.0
,325.0,2.0,,0.0,-1.8,93075.0,,1445.0,,,,3.0,,,,1.0,5.0,,0.0
,195.0,1.0,,0.0,,93994.0,,4857.0,5191.0,,0.0,0.0,1.0,0.0,0.0,,1.0,2.0,
,,1.0,,,-1.8,,,,5099.1,,1.0,3.0,1.0,1.0,0.0,,,0.0,0.0
35.0,,,999.0,,1.4,,,4957.0,,,,0.0,,,,1.0,,,0.0
,,,999.0,0.0,1.4,,-41.8,,,,,,,,0.0,0.0,4.0,,0.0
,327.0,,,,,93444.0,,4962.0,,,2.0,,,,0.0,,,,0.0
29.0,22.0,,,0.0,,,,,,1.0,,1.0,,,,0.0,1.0,1.0,
,,,,,,92893.0,,1244.0,5099.1,,,4.0,,,1.0,,1.0,,
23.0,,,999.0,0.0,,92893.0,-46.2,,5099.1,,,,0.0,,,1.0,1.0,,
46.0,,,999.0,0.0,-2.9,92469.0,,1048.0,5076.2,1.0,0.0,,,,0.0,1.0,0.0,,
,361.0,,,0.0,,,,,5099.1,3.0,0.0,,1.0,,0.0,,1.0,2.0,
39.0,,,999.0,0.0,,,,5.0,,,2.0,1.0,1.0,,1.0,0.0,,,
40.0,824.0,2.0,999.0,,,93994.0,,,5191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
35.0,68.0,21.0,,,,,,,,2.0,,1.0,1.0,0.0,,,,,
,130.0,,999.0,0.0,-1.8,93075.0,,1405.0,,,,,0.0,,0.0,,,0.0,
,243.0,1.0,,0.0,1.1,93994.0,-36.4,4859.0,5191.0,10.0,0.0,1.0,,,,,1.0,3.0,0.0
32.0,342.0,3.0,999.0,,,93075.0,-47.1,1405.0,,,,,1.0,1.0,0.0,,,,0.0
,270.0,1.0,,,1.1,93994.0,,4856.0,,,2.0,2.0,1.0,0.0,,0.0,,,0.0
,154.0,,999.0,,,93918.0,-42.7,4962.0,,3.0,,,,,,1.0,,,
27.0,,,999.0,,1.4,93918.0,,,,,,3.0,,,,,0.0,,
,643.0,,999.0,,,92893.0,-46.2,1354.0,,,,1.0,,,,1.0,,0.0,
46.0,,13.0,,0.0,1.4,94465.0,,4959.0,,,,,1.0,0.0,,,,4.0,
26.0,369.0,,,0.0,,93918.0,-42.7,,5228.1,1.0,,,,,,,0.0,2.0,
48.0,144.0,1.0,,0.0,1.4,,-36.1,,5228.1,2.0,,1.0,,0.0,,1.0,7.0,,0.0
40.0,364.0,,,,-0.1,,,,5195.8,9.0,,1.0,1.0,,0.0,1.0,,0.0,
,,,,,,93444.0,-36.1,,5228.1,,,,,0.0,,1.0,7.0,,
,,,999.0,0.0,1.1,93994.0,,,,,,1.0,0.0,,,,1.0,,0.0
,104.0,,999.0,0.0,-1.8,92893.0,-46.2,,5099.1,0.0,1.0,2.0,,,0.0,,,3.0,0.0
31.0,174.0,,999.0,0.0,,,,,5076.2,0.0,0.0,1.0,,,,,7.0,,0.0
56.0,,1.0,999.0,,,,-42.0,4191.0,5195.8,5.0,1.0,,1.0,0.0,0.0,,2.0,0.0,0.0
26.0,160.0,,,0.0,1.1,93994.0,-36.4,,,,,6.0,1.0,,,0.0,1.0,1.0,0.0
31.0,,3.0,999.0,0.0,1.4,93444.0,-36.1,4963.0,5228.1,,,,1.0,0.0,,,,,0.0
45.0,,1.0,999.0,,,,-42.7,4957.0,5228.1,11.0,,,1.0,,,,0.0,3.0,
,1200.0,,,,1.4,93918.0,,,5228.1,6.0,,,0.0,0.0,,,0.0,0.0,
46.0,,3.0,,0.0,,,-41.8,,,9.0,2.0,,1.0,,0.0,0.0,4.0,4.0,0.0
,142.0,,,,,,-36.1,,,,2.0,,1.0,0.0,1.0,,,0.0,0.0
,,4.0,999.0,,,94601.0,,,4963.6,8.0,,,1.0,,0.0,1.0,,1.0,1.0
26.0,,,,0.0,1.4,93918.0,,4962.0,,2.0,,1.0,1.0,,,1.0,,2.0,0.0
36.0,331.0,,,4.0,-1.1,94199.0,-37.5,,,,1.0,,,,,,6.0,,1.0
44.0,,1.0,,1.0,-1.8,92893.0,-46.2,1313.0,,,,3.0,1.0,1.0,0.0,,1.0,4.0,1.0
,,,,0.0,1.4,,-41.8,4959.0,5228.1,,,,0.0,,,,4.0,,0.0
,33.0,,999.0,0.0,,93444.0,-36.1,,,,1.0,1.0,1.0,,,1.0,,,
57.0,,,,0.0,1.1,93994.0,-36.4,,5191.0,2.0,2.0,,1.0,0.0,,0.0,1.0,,0.0
53.0,247.0,1.0,,,,,-36.4,,5191.0,3.0,1.0,4.0,,,1.0,,,2.0,0.0
,56.0,1.0,,1.0,-1.8,92893.0,-46.2,,5099.1,,3.0,1.0,,0.0,,,,,
45.0,107.0,,,0.0,1.4,,-42.7,4.96,5228.1,1.0,,,1.0,,0.0,,,0.0,
28.0,,,999.0,0.0,-1.7,,,,,,,,1.0,,,1.0,,2.0,
32.0,,,,,-2.9,,-40.8,1244.0,,5.0,,4.0,1.0,1.0,,1.0,4.0,3.0,
49.0,96.0,,999.0,,,93444.0,,,5228.1,,,,,,0.0,1.0,,1.0,
28.0,393.0,,,,1.1,93994.0,,4855.0,,,,1.0,,,0.0,0.0,,,0.0
,,,999.0,,-1.8,92893.0,-46.2,,,3.0,,,1.0,1.0,,1.0,1.0,,1.0
,479.0,,999.0,0.0,-2.9,92201.0,,,,6.0,1.0,2.0,,1.0,,1.0,7.0,2.0,0.0
42.0,,,,,1.4,93444.0,,,,1.0,,,1.0,,0.0,1.0,7.0,,
55.0,158.0,1.0,,0.0,,,,1466.0,,,,,1.0,0.0,0.0,1.0,,,
47.0,302.0,,999.0,0.0,1.1,,,,,,,2.0,1.0,,0.0,,,4.0,
41.0,193.0,1.0,999.0,0.0,-1.8,,-46.2,1281.0,5099.1,,1.0,3.0,1.0,,,1.0,,,
,109.0,,,,-1.8,,,1365.0,,,0.0,0.0,,,0.0,,5.0,,0.0
,,,999.0,1.0,,92893.0,-46.2,1244.0,,,1.0,3.0,,0.0,,,,0.0,
28.0,,,,,,93918.0,-42.7,4957.0,5228.1,0.0,,6.0,0.0,0.0,,1.0,0.0,,0.0
27.0,170.0,3.0,999.0,,,92893.0,,1291.0,,,,4.0,,,0.0,,1.0,2.0,0.0
57.0,379.0,2.0,,0.0,,,-36.4,,,2.0,,1.0,,,,0.0,,,
59.0,,9.0,999.0,,1.1,93994.0,,4856.0,,7.0,,,1.0,0.0,,0.0,1.0,2.0,0.0
22.0,,,999.0,0.0,-1.8,,,,5099.1,5.0,,3.0,,0.0,0.0,1.0,,4.0,
44.0,,1.0,,,,,-36.4,,5191.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0
,164.0,1.0,,,,93075.0,-47.1,,,0.0,1.0,3.0,1.0,1.0,,,5.0,,0.0
53.0,101.0,,,0.0,1.1,,,,5191.0,,1.0,,1.0,1.0,,0.0,1.0,,0.0
34.0,,,999.0,,1.4,,-36.1,4962.0,5228.1,1.0,1.0,1.0,,0.0,0.0,1.0,7.0,1.0,0.0
,234.0,1.0,3.0,,,,,0.683,5008.7,,0.0,0.0,,,0.0,1.0,1.0,1.0,2.0
,59.0,4.0,999.0,0.0,-0.1,,-42.0,4076.0,,,2.0,1.0,1.0,1.0,,1.0,,1.0,
28.0,17.0,5.0,,0.0,1.4,,-41.8,4959.0,,,1.0,0.0,,1.0,1.0,,4.0,,0.0
